season,Baker,Gender,Age,Occupation,Hometown,Round_1_Technical,Round_1,Round_2_Technical,Round_2,Round_3_Technical,Round_3,Round_4_Technical,Round_4,Round_5_Technical,Round_5,Round_6,Technicals,Handshakes,Star_Bakers,Round_Two,Round_6_Technical,Round_7_Technical,Round_7,Round_8_Technical,Round_8,Round_7_Handshake,Round_9_Technical,Round_9,Round_10_Technical,Round_10,Rounc_8_Technical,Round_9_Handshake,Round_2_Handshake,Round_3_Handshake,Round_4_Handshake,Round_10_Handshake,Round_1_Handshake,Round_5_Handshake,Round_8_Handshake,Round_6_Handshake
1,Edd,M,24,Debt collector for Yorkshire Bank,Bradford,1,SAFE,6,HIGH,1,HIGH,3,LOW,2,HIGH,WINNER,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Ruth,F,31,Retail manager/Housewife,"Poynton, Cheshire",unknown,HIGH,5,SAFE,2,HIGH,4,HIGH,3,HIGH,Runner-up,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Miranda,F,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",8,HIGH,3,HIGH,3,SAFE,1,HIGH,1,LOW,Third,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Jasminder,F,45,Assistant Credit Control Manager,Birmingham,unknown,SAFE,2,SAFE,5,LOW,2,HIGH,4,OUT,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,David,M,31,Entrepreneur,Milton Keynes,3,LOW,8,LOW,4,LOW,5,OUT,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Jonathan,M,25,Research Analyst,St Albans,9,SAFE,1,HIGH,6,OUT,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Annetha,F,30,Midwife,Essex,2,HIGH,7,OUT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Louise,F,44,Police Officer,Manchester,unknown,LOW,4,OUT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Lea,F,51,Retired,"Midlothian, Scotland",10,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Mark,M,48,Bus Driver,South Wales,unknown,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Jo,F,41,Housewife,"Ongar, Essex",11,HIGH,10,NA,1,SAFE,8,SAFE,6,SAFE,SB,3,NA,1,LOW,1,3,HIGH,1,WINNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Holly,F,31,Advertising executive,Leicester,1,SB,4,NA,6,SAFE,3,SB,4,SAFE,LOW,2,NA,2,SAFE,3,1,HIGH,2,Runner-up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mary-Anne,F,45,Housewife,"Kidderminster, Worcestershire",4,SAFE,9,NA,5,HIGH,2,HIGH,2,HIGH,HIGH,0,NA,0,SAFE,4,2,LOW,3,Runner-up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Janet,F,63,Teacher of Modern Languages,"Formby, Liverpool",8,SAFE,8,NA,8,LOW,4,SAFE,1,SB,HIGH,1,NA,1,SAFE,5,4,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Yasmin,F,43,Childminder,"West Kirby, The Wirral",5,SAFE,6,NA,2,SB,6,LOW,5,LOW,OUT,0,NA,1,SAFE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Jason,M,19,Civil Engineering Student,Croydon,6,SAFE,3,NA,7,SAFE,1,SB,7,OUT,NA,1,NA,2,SB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Robert,M,25,Photographer,London,3,LOW,5,NA,4,LOW,7,SAFE,3,OUT,NA,0,NA,0,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ben,M,31,Graphic Designer,Northampton,2,SAFE,1,NA,3,SAFE,5,OUT,NA,NA,NA,1,NA,0,SAFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ian,M,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,SAFE,2,NA,10,OUT,NA,NA,NA,NA,NA,0,NA,0,HIGH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Urvashi,F,40,Head of Marketing,"Enfield, London",7,SAFE,7,NA,9,OUT,NA,NA,NA,NA,NA,0,NA,0,SAFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Simon,M,31,Rugby Coach,Norfolk,9,LOW,11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Keith,M,31,House husband,"Arlesey, Bedfordshire",12,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,John,M,22,Law student,Wigan,11,SAFE,1,SB,6,SAFE,6,SAFE,2,SAFE,LOW,1,0,1,NA,5,3,LOW,3,HIGH,NA,2,LOW,2,WINNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Brendan,M,63,Recruitment consultant,Sutton Coldfield,10,SAFE,4,HIGH,9,LOW,1,SB,3,HIGH,SB,2,0,2,NA,1,4,HIGH,2,SAFE,NA,3,HIGH,2,Runner-up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,James,M,21,Medical student,"Hillswick, Shetland Islands",2,SAFE,2,HIGH,1,SB,5,SAFE,6,SAFE,LOW,5,0,3,NA,7,1,LOW,1,SB,NA,1,SB,1,Runner-up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Danny,F,45,Intensive care consultant,Sheffield,7,SAFE,3,SAFE,2,SAFE,2,HIGH,7,LOW,HIGH,0,0,1,NA,2,2,SB,4,LOW,NA,4,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Cathryn,F,27,Shop assistant,"Pease Pottage, West Sussex",5,HIGH,8,SAFE,3,SAFE,3,SAFE,1,SAFE,SAFE,1,0,0,NA,3,5,LOW,5,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ryan,M,38,Photographer,Bristol,8,SAFE,5,SAFE,5,SAFE,7,LOW,8,SB,SAFE,0,1,1,NA,6,6,OUT,NA,NA,Signature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Sarah-Jane,F,28,Vicar's wife,"Bewbush, West Sussex",1,SAFE,10,SAFE,8,SAFE,4,SAFE,4,LOW,LOW,1,0,0,NA,4,7,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Manisha,F,27,Nursery nurse,Leicester,6,SAFE,6,SAFE,10,SAFE,9,LOW,5,OUT,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Stuart,M,26,PE teacher,"Lichfield, Staffordshire",9,LOW,9,LOW,7,HIGH,8,OUT,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Victoria,F,50,CEO of the charity Plantlife,Somerset,4,SB,7,LOW,4,OUT,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Peter,M,43,Sales manager,"Windsor, Berkshire",3,SAFE,11,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Natasha,F,36,Midwife,"Tamworth, Staffordshire",12,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Frances,F,31,Children's Clothes Designer,"Market Harborough, Leicestershire",7,HIGH,2,SAFE,8,HIGH,1,SAFE,3,SAFE,HIGH,1,1,1,NA,2,5,SB,NA,LOW,NA,2,HIGH,3,WINNER,3,Signature,NA,NA,NA,NA,NA,NA,NA,NA
4,Kimberley,F,30,Psychologist,London,10,SAFE,1,HIGH,6,SAFE,4,SB,7,LOW,SAFE,3,0,2,NA,3,4,SAFE,NA,HIGH,NA,1,SB,1,Runner-up,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Ruby,F,20,History of Art and Philosophy Student,"Southend, Essex",12,LOW,3,SB,3,HIGH,6,HIGH,6,LOW,SB,2,0,3,NA,1,2,SAFE,NA,SB,NA,4,LOW,2,Runner-up,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
